cluster_label,source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,prob_A,membership_prob,prob_source,ms_flag,giant_flag,cluster_centre_ra,cluster_centre_dec,hunt24_name,simbad_name,sp_type,sp_class
188,458005455506061568,38.628717,57.334002,-0.243441,-1.171626,0.027900,0.030059,0.424284,0.036459,15.598851,16.030132,14.982629,1.072384,0.000000,0.976491,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458005657363930752,38.647375,57.362163,-0.251787,-1.026036,0.059526,0.065873,0.313807,0.076154,17.089260,17.853136,16.226688,1.027903,0.000000,0.914091,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,457994426028894976,37.866685,57.315928,-0.326646,-1.120750,0.017723,0.018193,0.362418,0.021042,14.755747,15.056902,14.280776,0.938717,1.000000,0.906488,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458005421146252160,38.633972,57.313649,-0.324732,-1.139611,0.042815,0.045552,0.408132,0.055023,16.366245,16.995472,15.594205,1.061963,0.000000,0.969291,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,457915673507144064,39.094671,57.552416,-0.211086,-1.131934,0.013493,0.013974,0.416946,0.015696,13.926045,14.320102,13.345904,1.065171,0.979789,0.972257,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,457990199781090816,38.051801,57.251076,-0.311623,-1.159842,0.056464,0.058505,0.443971,0.069721,17.089758,17.842295,16.230314,1.055227,0.000000,0.935627,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,457993807553597184,37.909572,57.333379,-0.242738,-1.158867,0.059287,0.060339,0.405176,0.066091,17.121042,17.853428,16.289910,1.019835,0.980176,0.951359,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458028029853736576,38.289764,57.606011,-0.207056,-1.110985,0.054557,0.056127,0.535855,0.064867,16.906443,17.627054,16.063110,0.975420,0.000000,0.934244,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458021604582766720,38.377904,57.456043,-0.269587,-1.063252,0.034879,0.035873,0.482853,0.043379,16.108654,16.627430,15.428429,0.973393,0.614091,0.978485,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458021742021729280,38.312641,57.454310,-0.392261,-1.157328,0.013487,0.014095,0.415398,0.016563,13.915699,14.254382,13.398009,1.022732,0.630613,0.988901,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458021845100927104,38.311238,57.472991,-0.201982,-1.036184,0.023760,0.024828,0.396259,0.028796,15.289300,15.685234,14.711719,1.004509,0.655247,0.989068,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
